code,name,lat,lon,n_snapshots,name_variants
13206800,Bratislava hlavná stanica,48.3019,17.607965,605033,141
13600200,Košice,48.873332,20.80377,452252,161
17915000,Žilina,49.11377,18.718542,184667,96
13223300,Zvolen osobná stanica,48.56971,19.14943,159758,96
13363700,Banská Bystrica,48.73475,19.14921,154798,70
16040800,Humenné,48.93015,21.82483,146755,104
13436100,Nové Zámky,48.08545,18.17267,131944,47
15750300,Prešov,48.89062,21.32044,129820,67
13676200,Trnava,48.369779,17.5783,129437,32
13016100,Kúty,48.606372,17.04753,120244,24
17255100,Prievidza,48.658867,18.48969,105381,42
15306400,Nitra,48.35184,18.07925,94364,18
18305300,Čadca,49.306219,18.89174,91166,25
13613500,Lučenec,48.42328,19.6675,79822,25
14031900,Štrbské Pleso,49.11853,20.123146,75185,8
15716400,Levice,48.1854,18.59264,71306,40
13101100,Liptovský Mikuláš,49.10815,19.17215,70829,27
17895400,Vrútky,48.993698,18.864985,69802,63
10146900,Kúty št. hr.,48.21356,17.1067,66615,102
10085900,Čadca št. hr.,49.092,19.41664,61376,60
14906200,Komárno,47.8615,17.8518,60972,19
14736300,Dunajská Streda,48.03178,17.452102,60573,14
13860200,Veľký Horeš,48.60604,21.56711,60456,20
17725300,Púchov,48.93764,18.113322,59867,38
14616700,Bratislava-Nové Mesto,48.3837,17.80695,57813,37
13326400,Galanta,48.19587,17.62928,57335,17
19012400,Poprad-Tatry TEŽ,49.118947,20.222847,55509,8
13490800,Margecany,48.83833,20.80377,55017,34
15506900,Topoľčany,48.56238,18.16916,54394,23
13230800,Svit,48.9955,20.405,51033,21
13250600,Poprad-Tatry,49.108569,20.405,50054,70
16410300,Lipany,49.04477,21.20295,49927,9
13866900,Trenčín,48.77622,17.874076,49911,47
13846100,Ladce,49.03435,18.29039,49571,18
18115600,Čadca,49.4036,18.78681,49510,26
10036200,Štúrovo št. hr.,48.18495,17.62928,46222,30
17795600,Dlhá nad Oravou,49.26478,19.44747,43652,10
17475500,Kraľovany,49.233999,19.34569,43439,10
14376800,Myjava,48.77622,17.70037,39646,12
13803200,Jesenské,48.302618,19.95785,36166,14
14350300,Stará Ľubovňa,49.184593,20.471821,33976,8
13526900,Štúrovo,47.84974,18.64573,33752,13
15183700,Tisovec,48.577,19.94454,29509,7
14830400,Nálepkovo,48.83833,20.72323,25366,9
13360300,Spišská Nová Ves,48.91024,20.88621,25319,13
16340200,Dlhé nad Cirochou,48.95489,22.05519,25051,5
14973200,Breznička,48.51318,19.80513,23995,6
16260200,Medzilaborce,49.26186,21.90506,23736,6
13141700,Liptovský Hrádok,49.10984,19.129828,23191,21
16590200,Bardejov,49.14945,21.28301,22535,5
17745100,Rajec,49.09045,18.64393,21661,4
14050900,Starý Smokovec,49.139298,20.222847,21370,5
14363600,Medzibrod,48.80148,19.439342,21135,8
13013800,Vrútky,49.233573,18.835748,20356,12
18275800,Makov,49.37213,18.48439,20049,3
19003300,Štrba OŽ,49.08458,20.06444,19932,2
10000800,Čierna nad Tisou,48.420059,22.087412,19713,16
13750500,Michaľany,48.52172,21.6262,18921,17
10006500,Devínska Nová Ves št. hr.,48.21905,16.97637,18629,4
16640500,Úpor,48.57716,21.67169,16047,3
19011600,Tatranská Lomnica TEŽ,49.16524,20.27959,16044,5
13093000,Horná Štubňa,48.74302,18.90277,15912,15
14366900,Skalica na Slovensku,48.81469,17.1499,15569,4
15230600,Veľká Ida,48.60123,21.17186,14547,8
10046100,Bratislava-Petržalka št. hr.,48.10293,17.0843,14388,5
10095800,Lúky pod Makytou,49.18002,18.22782,14223,3
10016400,Rusovce št. hr.,48.04693,17.15077,13667,5
14576300,Bratislava-Petržalka,48.12139,17.09941,13241,4
13716600,Hlohovec,48.38215,17.89029,12445,7
14543300,Červená Skala,48.813632,19.62889,11120,11
18345900,Turzovka,49.4036,18.6284,10785,3
15196900,Bánovce nad Bebravou,48.72036,18.25121,8939,6
17995200,Lúky pod Makytou,49.183905,18.22782,8892,3
15033400,Rimavská Sobota,48.3852,20.02863,8260,5
10116200,Vrbovce št. hr.,48.82933,17.51889,7851,2
16116600,Zlaté Moravce,48.254609,18.300647,7680,4
13886700,Trenčianska Teplá,48.93764,18.113322,7508,4
14466700,Horné Srnie,48.99744,18.09942,7432,3
10045300,Skalité št. hr.,49.50388,18.97193,7394,2
14666200,Kvetoslavov,48.09995,17.27674,6375,6
13026000,Brodské,48.69249,17.02313,6311,2
10050300,Čaňa št. hr.,48.528564,21.261426,5919,4
14136600,Senica,48.6469335,17.33475,5568,12
13293600,Diviaky,48.87613,18.877859,4863,6
14550800,Dobšinská Ľadová Jaskyňa,48.8762,20.2965,4755,4
17695800,Považská Bystrica,48.59647,17.81507,4716,28
15606700,Úľany nad Žitavou,48.09806,18.23331,4513,3
16326100,Čata,47.95622,18.64864,4510,3
14353700,Brezno,48.80148,19.62889,4410,2
15404700,Šahy,48.05931,18.95674,4400,3
15206600,Šurany,48.09806,18.23331,3988,7
13693700,Fiľakovo,48.29701,19.79157,3918,4
14623300,Banská Štiavnica,48.44409,18.91541,3668,3
14893200,Breznička,48.42328,19.73973,3602,3
14170500,Tatranská Lomnica,49.108569,20.29486,3408,4
14033500,Nová Baňa,48.41388,18.64856,3090,10
13183900,Hronská Dúbrava,48.485889,18.727975,2812,9
13816400,Nové Mesto nad Váhom,48.751821,17.8354488,2327,11
15010200,Plešivec,48.59944,20.76928,2297,18
15940000,Vranov nad Topľou,48.89062,21.67319,2185,7
13560800,Drienovská Nová Ves,48.911472,21.241086,1340,6
14390900,Plaveč,49.15203,20.95992,967,12
18335000,Skalité-Serafínov,49.49823,18.89174,908,4
14230700,Kežmarok,49.108569,20.354017,816,4
10040400,Plaveč št. hr.,49.26941,20.68005,314,9
13276100,Senec,48.21356,17.41417,230,5
16870800,Veľké Kapušany,48.55659,22.086039,225,15
10106300,Horné Srnie št. hr.,49.02859,18.05719,191,4
13606900,Bratislava-Rača,48.43347,17.94351,181,28
13020300,Maťovce ŠRT,48.60071,21.92885,159,9
10010700,Maťovce ŠRT št. hr.,48.56241,22.02524,156,9
14706600,Lehnice,48.05565,17.35944,128,7
15216500,Šurany,48.091755,18.20299,118,10
15710700,Drienovská Nová Ves,48.911472,21.245198,104,4
14406300,Stará Turá,48.77316,17.70037,64,8
13810700,Slovenské Nové Mesto,48.40282,21.6674,63,3
10020600,Slovenské Nové Mesto,48.40282,21.6674,55,3
14880900,Prakovce,48.82017,20.88565,31,4
13420500,Spišské Vlachy,48.93557,20.80377,29,3
13136700,Devínska Nová Ves,48.21905,16.97637,24,2
15826100,Hurbanovo,47.87671,18.20363,23,3
14726400,Orechová Potôň,48.014574,17.529968,10,1
